타임스탬프,1. 성별,2. 나이대,3. 어떤 종류의 혐오포현에 불쾌감을 자주 느끼나요?,4. 혐오표현을 자주 쓰거나 접한다고 생각하시나요?,4-1. (4번 질문에 '네'라고 답변하신 분들) 혐오표현을 자주 접하는 곳은 어디인가요?,5. 혐오표현을 접할 때 혐오표현이라고 인식하시나요?,"6. 자주 쓰게 되는 혐오표현에는 무엇이 있나요? (ex. 병X, 잼민이, 장애우 등)",6-1. 혐오표현을 사용하게 되는 이유는?,"7. 혐오 표현을 줄일 수 있고, 줄여야 한다고 생각하나요?"
2021. 9. 28 오후 4:22:54,여성,20대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등)",아니요,,네,"여자애가 왜그래, 너페미냐","무의식적인습관, 큰의미없이 가볍게농담으로 생각하는잘못된문화로 인한 접근성높음","줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 4:27:09,남성,30대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,네,없습니다.,없습니다.,"줄여야 하는데, 줄일 수 없다."
2021. 9. 28 오후 4:31:14,남성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,SNS등 온라인 공간,네,"잼민이, 꼰대",자주 접하다 보니 익숙해졌다,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 4:36:39,남성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등)",네,anywhere,네,쉿 ,"무의식, 주변 분위기 ","줄일 수 있는데, 줄일 필요는 없다."
2021. 9. 28 오후 4:41:08,남성,30대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,인터넷,네,"벙어리 장갑, 눈 뜬 장님, 병신, 지랄",익숙한 관용적 표현,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 4:56:22,남성,30대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등)",네,온라인 커뮤니티,네,"꼰대, 잼민이, 한남충, 꼴페미","사회적 윤리 의식 수준 저하, 감정 조절의 장애","줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 5:19:18,남성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 종교",네,SNS,네,.,.,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 5:19:51,남성,10대,"연령 혐오 (ex. 잼민이, 꼰대, X린이 등)",네,인터넷,네,병X,많이 접하다보니 심각성을 못 느끼고,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 5:21:44,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등)",네,SNS,아니오,"잼민이, 꼰대",혐오표현이라는 것은 몰랐는데 주변 사람들이 대부분 그렇게 부르다 보니 굳어져서 저도 모르게 많이 사용했던 것 같습니다.,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 5:22:07,남성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,"SNS(유튜브, 트위터 등)",네,"연령 혐오(틀딱, 잼민이, 초딩을 포함한 욕설)","혐오표현의 대상이 되는 연령대의 사람들 중에서 종종 자기가 먼저 공격당하고는 하는데, 저러한 표현을 쓰며 자신을 방어하려는 목적이 있음.","줄여야 하는데, 줄일 수 없다."
2021. 9. 28 오후 5:43:14,남성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등)",아니요,,아니오,"병X, 꼰X","습관, 감정 표출","줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 7:19:30,여성,50대,"연령 혐오 (ex. 잼민이, 꼰대, X린이 등)",아니요,,네,꼰대,답답해서~,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 7:21:29,남성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등)",아니요,,네,없음,사용 안 함,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 8:55:57,여성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등)",아니요,,네, 사용하지않는다,사용하지않는다,"줄일 수 있고, 줄여야 한다."
2021. 9. 29 오전 9:01:11,남성,30대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등)",네,인터넷,네,짱깨,욕설을 사용할때와 동일,"줄일 수 있는데, 줄일 필요는 없다."
2021. 9. 29 오전 9:05:55,남성,30대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등)",네,교실,네,저는 안씁니다.,시대 풍조와 어른들의 그릇된 본보기이겠지요,"줄일 수 있고, 줄여야 한다."
2021. 9. 29 오전 11:13:18,남성,30대,자주 느끼지 않음.,아니요,,아니오,자주 쓰는 혐오표현은 없음,"혐오표현을 사용한다면, 정말로 혐오스러운 상대에 대해 뒷담화할 때 사용합니다.","줄여야 하는데, 줄일 수 없다."
2021. 9. 29 오전 11:14:47,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,네,"병신, 잼민이, 꼰대",혐오표현을 쓰려고 하기보다는 혐오표현인 줄 모르고 사용하거나 심각성을 크게 느끼지 못하고 그냥 사용하는 경우가 대다수인 것 같다.,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 5:03:55,남성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등)",네,"학교, 온라인 게시판(유튜브 댓글, 뉴스 댓글 등)",네,크게 없음,크게 없음,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 5:05:40,여성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등)",아니요,,네,병신,화풀이용으로,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 5:07:48,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등)",아니요,,네,연령 혐오 표현,혐오표현이라는 인식을 하지 못해서,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 5:10:59,여성,50대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등)",아니요,,네,별로..,잘 사용하지 않는것 같습니다..,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 5:11:03,여성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등)",아니요,,네,병신,화풀이용으로,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 5:15:19,여성,50대,"체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,네,돼지,아무생각없이,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 5:19:37,여성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등)",아니요,,네,"이바부탱,이눔,저눔,뚱돼지",표현이 나름 정감가는 부분도 있어서 ...,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 6:23:20,여성,50대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,네,"치매,깜박이,",나이가 드니 기억력이 저하됨.,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 6:47:50,남성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등)",아니요,,네,잼민이,무심코 사용한다,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 7:08:19,남성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,"인터넷, 주변 친구",네,안씀,안씀,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 7:10:27,여성,50대,"체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,아니오,없어요,없어요,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 7:23:17,여성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,어른들보다 학생들에게서 많이 접함. 다방면,네,쓰는거 없음,쓰는거 없음,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 7:27:43,여성,50대,"체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,네,병신,대체 단어가 떠오르지 않을 때,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 7:34:44,여성,40대,"장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등)",아니요,,아니오,없어요 ,없어요 ,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 7:37:37,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등), 모든 혐오 표현에 불쾌감을 느낍니다",네,"학교, 미디어, 인터넷",네,"병신, 초딩, 썅년(놈) 등",상대방에 대한 비하 목적,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 8:10:25,여성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등)",아니요,,네,꼰대,티비,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 8:14:37,여성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,네,사용 잘안함,"화가 나가나 상식밖에 대화가 될때
이해되지 않는 상황이 전달되어 쌓일때","줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 8:23:20,여성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등)",아니요,,네,장애우,혐오표현인줄 몰라서,"줄여야 하는데, 줄일 수 없다."
2021. 10. 2 오후 9:34:10,남성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,"기숙사, 미디어",아니오,깜둥이. 꼰대,한 특징을 부각하여 지칭을 하려는 의도,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 11:11:19,여성,50대,"체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,네,뚱땡이,행동이 맘에 안들 태,"줄일 수 있고, 줄여야 한다."
2021. 10. 2 오후 11:31:11,남성,10대,"장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등)",네,학교,네,잼민이,불쾌함 표출,"줄일 수 있고, 줄여야 한다."
2021. 10. 3 오후 1:14:34,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,잼민이라는 말을 제가 너무 많이 사용해요,네,"잼민이, 틀딱",Sns 사람들이 많이 사용하는 언어다 보니 익숙해져서 사용하게 되는 것 같아요,"줄일 수 있고, 줄여야 한다."
2021. 10. 5 오전 11:34:27,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,학교,네,"병신, 지랄",대체어가 없어서,"줄일 수 있고, 줄여야 한다."
2021. 10. 5 오전 11:57:12,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등)",네,"학교, SNS",네,"병X, 잼민이",어감때문에,"줄일 수 있고, 줄여야 한다."
2021. 10. 5 오후 5:43:35,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,SNS 또는 인터넷 댓글창,네,"잼민이, 꼰대, 짱깨, 돼지",장난으로 사용하거나 주변 사람들이 모두 그렇게 불러서 나도 그냥 따라가는 경우가 많다.,"줄일 수 있고, 줄여야 한다."
2021. 10. 5 오후 9:36:47,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,"교실, sns",네,병신,자주 접하던 표현이다 보니 익숙해짐,"줄일 수 있고, 줄여야 한다."
2021. 10. 5 오후 11:42:14,여성,10대,"장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,댓글,네,틀딱,그러게,"줄일 수 있고, 줄여야 한다."
2021. 10. 5 오후 11:42:22,남성,10대,"장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,학교,네,잼민이,친구들과의 장난,"줄일 수 있고, 줄여야 한다."
